job_id,title
4643784,Керуючий рестораном
4643768,Офіціант
4643746,Tax/VAT Accountant у Ужгород
4643720,Руководитель отдела продаж
4643719,Менеджер з продажу (В2В)
4643630,Head of Sales
4539636,Заведующий складом
4643676,Специалист по контролю качества обслуживания клиентов
4406494,Торговый представитель с авто
4197193,Оператор фрезерных станков с ЧПУ
3765281,"Оператор Contact Сenter з обслуговування абонентів ""Київстар"""
3256392,Механік автоколони
4197206,Оператор токарных станков с ЧПУ
4643589,"Бухгалтер (касова дисципліна, РРО)"
4643784,Керуючий рестораном
4643768,Офіціант
4643746,Tax/VAT Accountant у Ужгород
4643720,Руководитель отдела продаж
4643719,Менеджер з продажу (В2В)
4643630,Head of Sales
4539636,Заведующий складом
4643676,Специалист по контролю качества обслуживания клиентов
4406494,Торговый представитель с авто
4197193,Оператор фрезерных станков с ЧПУ
3765281,"Оператор Contact Сenter з обслуговування абонентів ""Київстар"""
3256392,Механік автоколони
4197206,Оператор токарных станков с ЧПУ
4643589,"Бухгалтер (касова дисципліна, РРО)"
4643589,"Бухгалтер (касова дисципліна, РРО)"
4643567,Head of marketing
4643581,Кладовщик-грузчик
4627745,Електрозварник
4625975,Бариста-продавець
4643511,"IT Recruiter, Partnership Manager"
4088806,Менеджер з продажу
4195402,Бухгалтер (ст. м. Левобережная)
1744848,"Менеджер по кредитованию, кассир-операционист"
4449720,Администратор баз данных
4070857,Team leader
3412889,Продавець-консультант ювелірних виробів
4643523,Розробник PHP
4643517,Исполнительный директор
4643498,Консультант 1С
4643492,Ассистент менеджера по продажам
4643485,Водитель со своим авто (микроавтобус)
4643479,Помощник маркетолога
4643469,Менеджер по рекламе
4643449,Помощник бухгалтера
1978467,Менеджер по работе с клиентами в банк
4643248,Менеджер з продажу
4600006,Продавець-консультант
4556611,Junior Media Buyer
4643157,HR business partner
4572950,"Менеджер по продаже недвижимости, риелтор, продавец (с обучением)"
4303989,Младший программист 1С
4643135,DevOps engineer
4643126,Продавець-сомелье м'ясний (Софіївська Борщагівка)
4643125,Керівник виробничого цеху (с. Зазим'є)
4643106,SMM-менеджер
4643094,"Cпеціаліст по тендерним закупівлям, тендерам"
4365718,"Администратор-переводчик английского, оператор онлайн-чата в брачное агентство"
4069941,Конструктор-закройщик одежды в экспериментальный цех
3857370,Менеджер з персоналу
4158070,Офіс-менеджер (HR)
4497803,Кухар гарячого процесу
3850963,Переводчик английского языка
3857422,Переводчик английского
3857427,Переводчик английского
3195639,Переводчик английского
3857430,Переводчик английского
4642991,Помощник менеджера по продажам
4366505,Оператор call-центра
4270931,Full Stack Developer (C#/Javascript)
2523411,Интервьюер
4568593,"Комплектовщик, работник производства"
4052509,Конструктор меблів у Рівне
4362313,Администратор в продюсерский центр
4642850,Спеціаліст відділу якості (English language)
4357198,Продавець-консультант (відділ бакалії)
4642804,Менеджер по роботі з клієнтами (Poland region)
4352433,Кассир в супермаркет
4609463,Продавец-консультант (ТРЦ Karavan)
4045895,"Продавец-консультант (ТРЦ ""Космополит"")"
4593038,"Керівник групи операторів call-центра, супервайзер"
4642734,Рекрутер
4331485,Менеджер з продажу юридичних послуг
4642685,Фахівець з продажу корпоративних рішень
4642668,"Официант (Черниговская, Лыбедская, Политехнический институт)"
4568911,Бухгалтер відділу бухгалтерського обліку у Великі мости
4460839,Оператор call-центра в интернет-магазин
4084727,Лікар-онколог клінічний
1419186,Продавец-консультант в бутик Lavien
4642605,"Повар (ТРЦ ""Республика"", ст. м. Теремки, Лыбедская, Майдан, Позняки, КПИ)"
4631005,Account manager
4642587,"Водитель на авто компании (такси, Bolt, Uber, Uklon)"
4642575,Рабочий на производство
4642574,"Менеджер по работе к клиентами (недвижимость, ст. м. Крещатик)"
2585916,Заместитель главного бухгалтера
1553367,"Специалист по работе с клиентами, менеджер по продажам (B2B)"
4629413,Операціоніст відділу міжнародних продажів
4642508,Сушист з навчанням (правий берег)
4074619,Водій з власним авто в службу доставки (правий берег)
4322247,Менеджер по обработке данных (изображения)
4481902,Менеджер по продажам (интернет-магазин)
4031461,"Водій таксі (Uber, \ Bolt)"
4576784,Бухгалтер зі знанням програми SAP
4421746,Медичний координатор
4631346,Менеджер з продажу підлогових покриттів
3891186,"Водитель на авто компании категории B (Uber, Uklon, Bolt)"
4642374,Лазерный специалист (с обучением)
4476937,Бухгалтер ресторану (первинний облік)
994309,Директор центру інформаційних технологій
4642100,Targetologist
4631342,Гардеробник
4642096,Junior Affiliate Manager
4642091,Сервісний інженер
4642061,Продавець техніки (р-н Голосіївський)
3345824,Грузчик-комплектовщик на склад (ночная смена)
4642035,Регіональний менеджер
4451443,Пакувальник у цех
4642022,Територіальний менеджер (область)
4642018,Територіальний менеджер (область)
4642016,"Регіональний менеджер (Кіровоградська, Дніпропетровська обл.)"
4642010,Регіональний менеджер
4642007,Менеджер по персоналу
4642005,"Регіональний менеджер (Запорізька, Донецька область, Маріупольський напрямок)"
4642004,"Регіональний менеджер (Чернігівська, Сумська, Черкаська область)"
4641997,"Регіональний менеджер (Чернівецька, Тернопільська, Івано-Франківська область)"
4641996,"Регіональний менеджер (Львівська, Закарпатська область)"
4641993,Дивізіональний менеджер (територія Захід)
4579417,Head of Analytics (Contact center)
3809280,Упаковщик заказов в интернет-магазин косметики
4641968,Продавець-консультант (р-н Балатон)
4398199,"Администратор бизнес-клуба, управляющий"
4562286,"Комплектовщик, отборщик, сборщик"
4582485,"Комплектовщик, сборщик, отборщик"
4278801,"Менеджер з підбору, рекрутер"
4621291,Менеджер по продажам
4632158,UX-writer
4641859,Инженер ПТО
4641844,Карщик-гузчик
908916,Инженер в отдел техподдержки (промавтоматика)
3804667,"Офис-менеджер, ассистент руководителя"
4641832,"Водитель-дальнобойщик категории Е (по Украине, полуприцеп, тент)"
4598896,Водитель-экспедитор на авто компании
4641802,Менеджер по персоналу (центр)
4641466,Sales-менеджер (продажа авто из США)
4641788,"Кредитный консультант, кассир, клиент-менеджер"
4641787,"Кредитный консультант, кассир, клиент-менеджер"
3194009,Продавец-консультант
4504886,"Член бригади ресторану, касир, прибиральник, працівник кухні"
4627919,Юрист в КУА
4619650,NOC Engineer
4562832,"Менеджер мережі продажу, торговий представник"
3642400,"Кухар у супермаркет ""Велика кишеня"""
4013823,Сушист з навчанням (лівий берег)
4620563,Спеціаліст з підтвердження замовлень інтернет-магазину
4629809,Младший сервисный инженер
4298754,Менеджер по продажам
4537072,Менеджер по работе с клиентами
4608245,Керівник напрямку з розвитку страхових продуктів (роздріб)
4570259,"Провізор, фармацевт (залізничний вокзал ""Дарниця"")"
4620191,Руководитель отдела аналитики
4641754,Продавец-консультант
2946495,Фрезеровщик-универсал
4619459,Оператор упаковки
4565144,Sales manager
4525851,Продавець-консультант техніки (ТРЦ Retroville)
4525851,Продавець-консультант техніки (ТРЦ Retroville)
4630356,Директор магазину цифрової техніки
3575362,Сборщик каркасов в диванный цех в Вишневое
4607836,"HR business partner (напрямок ""Комерція"")"
4631515,Представник по роботі з аптеками
4583486,Монтажник меблів
4199664,Transportation Manager
3963691,Руководитель отдела взыскания (МФО)
